instance,nI,nJ,nK,nL,tI,tJ,seed,kstar_target,md5,status,obj,k_used,kstar,nodes,time,agg,timeout,p1,p2i,p2b,p3,rneg,cap
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s1.txt,10,10,30,3,2,2,1,4,bb71bca8b82d8b0264089825cdfaf9e6,OPTIMAL,26812,20,4,20075,17.567,0,0,40,0,3965,6019,0,0
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s2.txt,10,10,30,3,2,2,2,4,ffa3a71a07bc45a83233bc612b695113,OPTIMAL,27180,20,4,6905,7.048,0,0,2,0,3450,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s3.txt,10,10,30,3,2,2,3,4,6d99514c1bcf9f7adf81f367fd902235,OPTIMAL,23916,20,4,16279,14.219,0,0,21,0,7072,1038,0,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s1.txt,10,10,30,3,4,4,1,8,2930898dd04a9c759065f3aa80dd810a,OPTIMAL,27098,20,8,6323,6.608,0,0,126,0,3030,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s2.txt,10,10,30,3,4,4,2,8,53d4309f49a62f232f318927129bbc68,OPTIMAL,27596,20,8,3601,3.767,0,0,53,0,1744,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s3.txt,10,10,30,3,4,4,3,8,56059f126190ce206713997a6ad6b8e8,OPTIMAL,26321,20,8,3811,4.082,0,0,40,0,1861,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s1.txt,10,10,30,3,6,6,1,12,1a45ad073de03e1713561632f3889107,OPTIMAL,28904,20,12,1881,2.337,0,0,224,0,714,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s2.txt,10,10,30,3,6,6,2,12,fe5eb2c0a0f060538b7290b66503c487,OPTIMAL,29902,20,12,1669,2.026,0,0,76,0,755,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s3.txt,10,10,30,3,6,6,3,12,ce8da02f1fc7bb06fe8443a16a103fbb,OPTIMAL,27333,20,12,4427,5.026,0,0,384,0,1826,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s1.txt,10,10,30,3,8,8,1,16,2e9616d0a964d5664498d269e599e739,OPTIMAL,30684,20,16,293,0.270,0,0,109,0,36,0,0,0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s2.txt,10,10,30,3,8,8,2,16,cd2634d0136b52f3145809d4e059fbc0,OPTIMAL,33497,20,16,813,0.650,0,0,300,0,101,0,0,0
