instance,nI,nJ,nK,nL,tI,tJ,seed,status,obj,k_used,kstar,nodes,time,timeout,p1,p2i,p2b,p3
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s1,10,10,30,3,2,2,1,OPTIMAL,26812,20,4,20075,20.208,0,40,0,3965,6019
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s3,10,10,30,3,2,2,3,OPTIMAL,23916,20,4,16279,15.865,0,21,0,7072,1038
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s5,10,10,30,3,2,2,5,OPTIMAL,22106,20,4,4199,4.605,0,1,0,2067,25
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s10,10,10,30,3,2,2,10,OPTIMAL,25244,20,4,48089,48.100,0,331,0,10705,12993
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s2,10,10,30,3,2,2,2,OPTIMAL,27180,20,4,6905,7.880,0,2,0,3450,0
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s7,10,10,30,3,2,2,7,OPTIMAL,22617,20,4,17257,17.522,0,17,0,7157,1440
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s4,10,10,30,3,2,2,4,OPTIMAL,24831,20,4,11427,14.531,0,3,0,5707,0
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s9,10,10,30,3,2,2,9,OPTIMAL,23150,20,4,13285,15.171,0,68,0,4045,2511
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s1,10,10,30,3,4,4,1,OPTIMAL,27098,20,8,6323,7.793,0,126,0,3030,0
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s6,10,10,30,3,2,2,6,OPTIMAL,22951,20,4,16301,14.902,0,60,0,2094,5993
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s3,10,10,30,3,4,4,3,OPTIMAL,26321,20,8,3811,4.728,0,40,0,1861,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s5,10,10,30,3,4,4,5,OPTIMAL,27327,20,8,5921,7.085,0,59,0,2893,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s7,10,10,30,3,4,4,7,OPTIMAL,25069,20,8,7573,9.128,0,40,0,3729,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s9,10,10,30,3,4,4,9,OPTIMAL,23277,20,8,6963,8.760,0,93,0,3385,0
